id,Duration in months,Credit history,Purpose of the credit,Credit amount,Status of savings account/bonds,Present employment(years),Installment rate in percentage of disposable income,personal_status,Other debtors / guarantors,Present residence since X years,Property,Age in years,Other installment plans (banks/stores),Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Status of existing checking account
0.0,0.029411764705882346,0.25,0.6666666666666666,0.0505667436997909,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.8571428571428572,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0
0.001001001001001001,0.6470588235294117,0.75,0.6666666666666666,0.3136898866512601,0.5,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,0.0535714285714286,0.5,0.5,0.0,0.3333333333333333,0.0,0.0,1.0,0.0
0.002002002002002002,0.1176470588235294,0.25,0.2222222222222222,0.10157367668097282,0.5,0.25,0.3333333333333333,1.0,1.0,0.6666666666666667,1.0,0.5357142857142858,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0
0.003003003003003003,0.5588235294117647,0.75,0.3333333333333333,0.4199405744470122,0.5,0.25,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,0.46428571428571425,0.5,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,1.0
0.004004004004004004,0.2941176470588235,0.5,0.4444444444444444,0.25420931000330144,0.5,0.0,0.6666666666666667,1.0,1.0,1.0,0.6666666666666666,0.6071428571428572,0.5,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,0.0
0.005005005005005005,0.47058823529411764,0.75,0.2222222222222222,0.4844833278309673,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.28571428571428575,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.006006006006006006,0.2941176470588235,0.75,0.3333333333333333,0.14223616154946628,0.25,0.75,0.6666666666666667,1.0,1.0,1.0,0.3333333333333333,0.6071428571428572,0.5,0.5,0.0,0.3333333333333333,0.0,0.0,1.0,1.0
0.007007007007007007,0.47058823529411764,0.75,1.0,0.3685484758446132,0.5,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,0.28571428571428575,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0
0.008008008008008008,0.1176470588235294,0.75,0.6666666666666666,0.15456146142841423,0.75,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.75,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0
0.009009009009009009,0.38235294117647056,0.25,0.4444444444444444,0.27423792230659183,0.5,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.16071428571428575,0.5,0.5,0.3333333333333333,0.0,0.0,0.0,1.0,0.0
0.01001001001001001,0.1176470588235294,0.75,0.4444444444444444,0.05749972488169913,0.5,0.5,0.6666666666666667,0.0,1.0,0.0,0.0,0.10714285714285715,0.5,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0
0.011011011011011011,0.6470588235294117,0.75,0.0,0.22328601298558381,0.5,0.5,0.6666666666666667,0.0,1.0,1.0,0.3333333333333333,0.0892857142857143,0.5,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0
0.012012012012012012,0.1176470588235294,0.75,0.6666666666666666,0.07246616044899307,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0535714285714286,0.5,0.5,0.0,0.3333333333333333,0.0,1.0,1.0,1.0
0.013013013013013013,0.2941176470588235,0.25,0.4444444444444444,0.052217453505007144,0.5,0.75,1.0,1.0,1.0,1.0,0.0,0.7321428571428572,0.5,0.5,0.3333333333333333,1.0,0.0,0.0,1.0,0.0
0.014014014014014014,0.16176470588235292,0.75,0.4444444444444444,0.06344228018047761,0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.16071428571428575,0.5,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,1.0
